Inhibitor_RefID,CHEMBL_ID,Kinase_Target
357,CHEMBL3969723,CDK1
358,CHEMBL3969723,CDK4
359,CHEMBL3969723,CDK9
360,CHEMBL3545308,EGFR
361,CHEMBL1789941,JAK1
362,CHEMBL1789941,JAK2
363,CHEMBL3545097,MTOR
364,CHEMBL2408045,EGFR
365,CHEMBL2408045,ERBB2
366,CHEMBL2408045,ERBB4
367,CHEMBL2408045,ERBB3
368,CHEMBL217092,SRC
369,CHEMBL217092,ABL1
370,CHEMBL3334567,MET
371,CHEMBL3040548,EGFR
372,CHEMBL3040548,ERBB2
373,CHEMBL14762,CDK2
374,CHEMBL14762,CDK7
375,CHEMBL14762,CDK9
376,CHEMBL3916717,MAP3K5
377,CHEMBL1614701,MAP2K1
378,CHEMBL1614701,MAP2K2
379,CHEMBL276711,KDR
380,CHEMBL1230165,CSNK2A1
381,CHEMBL1230165,CSNK2A2
382,CHEMBL3545235,EGFR
383,CHEMBL3989926,RET
384,CHEMBL3989926,DDR2
385,CHEMBL3989926,NTRK1
386,CHEMBL3989926,NTRK2
387,CHEMBL3989926,NTRK3
388,CHEMBL3301606,JAK1
389,CHEMBL411907,PIK3CA
390,CHEMBL411907,PIK3CB
391,CHEMBL411907,PIK3CG
392,CHEMBL1336,BRAF
393,CHEMBL1336,RAF1
394,CHEMBL1336,FLT4
395,CHEMBL1336,KDR
396,CHEMBL1336,FLT3
397,CHEMBL1336,PDGFRB
398,CHEMBL1336,KIT
399,CHEMBL1336,FGFR1
400,CHEMBL1336,RET
401,CHEMBL1336,FLT1
402,CHEMBL3301625,BTK
403,CHEMBL535,PDGFRB
404,CHEMBL535,FLT1
405,CHEMBL535,KIT
406,CHEMBL535,KDR
407,CHEMBL535,FLT4
408,CHEMBL535,FLT3
409,CHEMBL535,CSF1R
410,CHEMBL535,PDGFRA
411,CHEMBL2180602,KDR
412,CHEMBL2180602,FLT4
413,CHEMBL2180602,FLT1
414,CHEMBL514201,MAPK14
415,CHEMBL475251,SYK
416,CHEMBL124660,FLT3
417,CHEMBL124660,PDGFD
418,CHEMBL1950289,MAPK8
419,CHEMBL2387080,PIK3CA
420,CHEMBL2387080,PIK3CD
421,CHEMBL2387080,PIK3CG
422,CHEMBL2079588,KDR
423,CHEMBL2079588,FLT4
424,CHEMBL3402762,MET
425,CHEMBL3544983,EGFR
426,CHEMBL3544983,ERBB2
427,CHEMBL3544983,KDR
428,CHEMBL3544983,FLT4
429,CHEMBL3544983,EPHB4
430,CHEMBL2103882,MET
431,CHEMBL1289494,FLT1
432,CHEMBL1289494,KDR
433,CHEMBL1289494,FLT4
