kinase,substrate
DDR1,XPO1
DDR1,ZIC4
DDR1,ZNF32
DDR1,ZNF606
DDR2,CBL
DDR2,CTTN
DDR2,PRKCD
DDR2,RET
DMPK,PRKACA
DMPK,TGFB1I1
DMPK,ZYX
DYRK1B,ACRC
DYRK1B,C14orf106
DYRK1B,CAMKK1
DYRK1B,ERF
DYRK1B,FHL2
DYRK1B,HCLS1
DYRK1B,HDAC8
DYRK1B,HSFY1
DYRK1B,MAPK1
DYRK1B,MAPK8
DYRK1B,MDFI
DYRK1B,MTA1
DYRK1B,NFATC4
DYRK1B,NPM1
DYRK1B,PRDM1
DYRK1B,PRKACA
DYRK1B,PRKACB
DYRK1B,SMAD3
DYRK1B,UHMK1
DYRK1B,ZMYM3
DYRK1B,ZNF519
DYRK1B,ZNF606
DYRK1B,ZNF626
DYRK1B,ZNF692
DYRK1B,ZYX
DYRK2,ATF2
DYRK2,BAX
DYRK2,C13orf15
DYRK2,C21orf66
DYRK2,CAMKK1
DYRK2,CBL
DYRK2,CBX1
DYRK2,CDK6
DYRK2,CSDC2
DYRK2,DAZAP1
DYRK2,DNMT3A
DYRK2,ETS1
DYRK2,FAM110A
DYRK2,HIRIP3
DYRK2,HLCS
DYRK2,HSF1
DYRK2,KCNIP2
DYRK2,LARP6
DYRK2,MBNL3
DYRK2,MCM7
DYRK2,MDM2
DYRK2,METTL3
DYRK2,NRBP1
DYRK2,NUDT4
DYRK2,PARK7
DYRK2,PCBD1
DYRK2,PPP1R8
DYRK2,PSMA6
DYRK2,RCC1
DYRK2,RUVBL2
DYRK2,S100A11
DYRK2,SMAD4
DYRK2,SMAD7
DYRK2,SMPX
DYRK2,SRXN1
DYRK2,TBC1D22A
DYRK2,TRIM24
DYRK2,TRIM26
DYRK2,TULP3
DYRK2,UBE2I
DYRK2,VHL
DYRK2,XPO1
DYRK2,YWHAH
DYRK2,ZFP36
DYRK3,CSRP3
DYRK3,GRHL1
DYRK3,HCLS1
DYRK3,LIG1
DYRK3,MLX
DYRK3,NOC2L
DYRK3,RBM17
DYRK3,SFMBT1
DYRK3,TERF2IP
DYRK3,UHMK1
DYRK3,XPA
DYRK4,ABI2
DYRK4,AGGF1
DYRK4,ANKS1A
DYRK4,BMX
DYRK4,C21orf66
DYRK4,CAMKK1
DYRK4,CARHSP1
DYRK4,CBL
DYRK4,CC2D1A
DYRK4,CCM2
DYRK4,CSDE1
DYRK4,CTTN
DYRK4,DDEFL1
DYRK4,DDX4
DYRK4,DGCR8
DYRK4,EIF4A3
DYRK4,EIF4ENIF1
DYRK4,EIF4H
DYRK4,ETF1
DYRK4,EXOSC3
DYRK4,HCLS1
DYRK4,IRF3
DYRK4,LRRFIP1
DYRK4,MAPK12
DYRK4,MBNL3
DYRK4,MLX
DYRK4,NANOS1
DYRK4,NFATC4
DYRK4,NPM1
DYRK4,NRIP2
DYRK4,NUDT3
DYRK4,PRKACA
DYRK4,PRKACB
DYRK4,PSMC3
DYRK4,RAD23B
DYRK4,RNH1
DYRK4,RNUXA
DYRK4,RUVBL1
DYRK4,RUVBL2
DYRK4,SAFB2
DYRK4,SART3
DYRK4,SFRS1
DYRK4,SLC4A1AP
DYRK4,SMAD4
DYRK4,SNUPN
DYRK4,SRA1
DYRK4,SRXN1
DYRK4,STIP1
DYRK4,STUB1
DYRK4,TIA1
DYRK4,TRIM26
DYRK4,UHMK1
DYRK4,YWHAH
DYRK4,ZYX
EEF2K,BAD
EEF2K,HLCS
EEF2K,NFATC4
EEF2K,NXF3
EEF2K,PPP1R8
EEF2K,PRKAA1
EEF2K,TULP4
EIF2AK1,HLCS
EIF2AK2,CHEK2
EIF2AK2,PLK1
EIF2AK2,PRKCD
EPHA3,ANKS1A
EPHA3,BCL3
EPHA3,CEP250
EPHA3,DDEF2
EPHA3,ETF1
EPHA3,FUSIP1
EPHA3,GPBP1
EPHA3,HCLS1
EPHA3,HLCS
EPHA3,IRF3
EPHA3,LZTS1
EPHA3,MAP3K8
EPHA3,NEUROD1
EPHA3,PPP5C
EPHA3,SFRS1
EPHA3,SRXN1
EPHA3,TRIM36
EPHA3,TRIP10
EPHA3,ZAP70
EPHA3,ZYX
EPHB1,HLCS
EPHB1,KLHL25
EPHB1,NFATC4
EPHB3,CRK
EPHB3,HNRPK
EPHB3,MTA1
EPHB3,PRKCD
FASTK,CBL
FASTK,CRY1
FASTK,PITX1
FASTK,SF1
FASTK,TIA1
FGFR1,ANKS1A
FGFR1,ANXA2
FGFR1,CSDE1
FGFR1,CSRP3
FGFR1,DDX6
FGFR1,EIF4H
FGFR1,EXOSC5
FGFR1,HCLS1
FGFR1,HLCS
FGFR1,LSR
FGFR1,MTA1
FGFR1,NEUROD1
FGFR1,PRKAR1A
FGFR1,RAGE
FGFR1,RPS10
FGFR1,XPR1
FGFR2,APITD1
FGFR2,BCL3
FGFR2,C11orf9
FGFR2,C14orf106
FGFR2,CBL
FGFR2,CEP250
FGFR2,CRK
FGFR2,CSDC2
FGFR2,CSDE1
FGFR2,CTTN
FGFR2,KHDRBS1
FGFR2,LARP6
FGFR2,LUZP1
FGFR2,MTA1
FGFR2,NFATC4
FGFR2,NUDT4
FGFR2,OAS1
FGFR2,PKM2
FGFR2,PNCK
FGFR2,RUVBL2
FGFR2,SMAD4
FGFR2,TCF3
FGFR2,TOX
FGFR2,TRIP10
FGFR2,ZNF397
FGFR2,ZNF765
FGFR2,ZNF784
FGFR2,ZYX
FGFR4,ARID3A
FGFR4,BMX
FGFR4,CAMKK1
FGFR4,CARHSP1
FGFR4,COPS6
FGFR4,CSNK1G2
FGFR4,CSRP3
FGFR4,CTTN
FGFR4,DCP1A
FGFR4,DDEFL1
FGFR4,GNA12
FGFR4,HCLS1
FGFR4,HES1
